Ma_Hang,BG_LC_hien_tai,Gia_von_VAT
SP2712114,145000.0,145000.0
SP2712092,35000.0,35000.0
SP2712085,,275500.0
SP2712084,84500.0,84500.0
SP2712074,58000.0,49801.70632
SP2712046,125000.0,85635.0
SP271192,160000.0,160000.05
SP2711902,55250.0,
SP2711802,193000.0,193000.0
SP2711790,43000.0,39815.0
SP271172,249000.0,229000.0
SP271171,,161111.0
SP271169,,180000.0
SP271163,228000.0,212995.0
SP2711628,12000.0,25000.0
SP2711610,828000.0,842965.0
SP2711601,414960.0,434720.0
SP2711589,15000.0,13000.0
SP271155,64000.0,57429.0
SP2711493,210000.0,210000.0
SP2711491,385000.0,339999.975
SP2711471,30000.0,25055.66146
SP2711398,555000.0,1062858.0
SP2711276,53000.0,53000.0
SP2711270,,169999.992
SP2711225,241600.0,241600.0
SP271120,105000.0,105000.0
SP2711191,450000.0,450000.0
SP2711156,,167144.0
SP2711141,343000.0,342999.825
SP2711116,165000.0,187628.0
SP2711074,73000.0,77000.0
SP2711068,415800.0,529714.0
SP271105,174000.0,174000.0
SP2710992,110000.0,
SP271097,80000.0,77175.0
SP2710965,95000.0,80718.31531
SP2710958,63600.0,62000.0
SP2710956,55000.0,55000.0
SP2710949,,139999.968
SP2710946,40500.0,44000.0
SP2710924,11000.0,192000.0
SP271092,21000.0,17000.0
SP2710906,43000.0,45047.0
SP2710894,60000.0,63000.0
SP2710892,239500.0,239500.0
SP271086,,38095.0
SP2710842,108000.0,154286.0
SP2710801,140000.0,126666.0
SP2710752,114000.0,82999.98
SP2710743,84000.0,66405.47517
SP2710738,6000.0,5619.6
SP2710706,121500.0,114996.0
SP2710693,261000.0,261000.6
SP271069,44400.0,61428.0
SP2710686,51000.0,46500.0
SP2710679,245000.0,233333.0
SP271067,39000.0,39000.15
SP2710653,224000.0,217000.0
SP2710650,12000.0,239000.0
SP2710632,510000.0,481906.0
SP271063,255000.0,229999.875
SP2710560,20000.0,19152.0
SP2710545,316500.0,314917.0
SP2710540,228000.0,19904.0
SP2710498,205000.0,220238.0
SP271049,29500.0,21069.0
SP2710479,270000.0,475000.0
SP2710410,26000.0,18960.0
SP2710408,476000.0,476000.0
SP2710345,109000.0,57000.0
SP2710304,286000.0,286002.0
SP2710233,115000.0,115500.0
SP2710219,460000.0,438095.0
SP2710154,179000.0,156481.0
SP271012,59000.0,48000.0
SP2710059,31000.0,32476.0
SP2710027,215000.0,188338.0
SP2710007,127500.0,112000.0
SP2709926,355000.0,338095.0
SP2709895,22500.0,24520.0
SP2709875,284500.0,284500.0
SP2709846,21000.0,17124.0
SP2709836,140000.0,146666.0
SP2709833,145000.0,266000.0
SP2709830,618000.0,618000.0
SP2709717,290000.0,240000.0
SP2709687,,236296.5
SP2709686,,275000.0
SP270961,90000.0,69151.65387
SP2709602,89600.0,89601.0
SP2709565,115000.0,105032.0
SP2709545,19800.0,
SP2709536,49900.0,49900.0
SP2709532,339000.0,339000.0
SP2709514,70000.0,70000.0
SP2709507,95000.0,94989.0
SP2709503,144000.0,94018.0
SP2709494,128990.0,115000.0
SP2709485,18000.0,17143.0
SP2709480,230000.0,219048.0
SP2709453,66000.0,66000.0
SP2709420,,113121.0
SP2709413,74000.0,72735.12286
SP2709400,240000.0,239989.0
SP2709388,109500.0,122995.0
SP2709374,209000.0,257407.0
SP2709348,150000.0,145700.1
SP2709346,449500.0,451300.0
SP2709335,115000.0,109524.0
SP2709329,90000.0,90000.0
SP2709300,372000.0,289333.0
SP2709289,315000.0,300000.0
SP2709254,99000.0,101750.0
SP2709228,,
SP270922,60000.0,57143.0
SP2709196,75000.0,71429.0
SP2709186,1008000.0,984433.0
SP2709183,365490.0,384300.0
SP2709166,21000.0,23223.0
SP2709093,94000.0,89524.0
SP2709087,108000.0,108000.0
SP270908,53000.0,50476.0
SP2709069,3800.0,3143.0
SP2708938,7000.0,7500.0
SP270885,42000.0,42000.0
SP270880,250000.0,230001.0
SP2708798,25000.0,23809.0
SP270877,340000.0,270000.0
SP2708740,30000.0,29400.0
SP2708732,67000.0,60000.0
SP2708657,260000.0,208000.0
SP2708626,26000.0,26952.0
SP270859,172000.0,179368.0
SP270858,63000.0,43970.0
SP2708514,19000.0,19905.0
SP270850,,
SP2708488,44000.0,41905.0
SP2708482,73000.0,60112.0
SP2708457,16000.0,15225.0
SP2708347,99000.0,103950.0
SP2708109,45000.0,45000.0
SP2708081,96000.0,91429.0
SP2708080,,11550.0
SP270808,78750.0,
SP270807,110000.0,110000.0
SP2708046,55250.0,58346.03803
SP2708042,18500.0,18499.968
SP2708011,150000.0,138889.0
SP270799,40000.0,24681.0
SP2707984,324000.0,315000.0
SP2707980,395000.0,394999.0
SP2707973,150000.0,130000.5
SP2707955,23000.0,18698.03936
SP2707922,990000.0,660000.0
SP2707910,105000.0,105000.0
SP2707876,32000.0,22900.15
SP2707793,215000.0,
SP270778,111000.0,110134.0
SP2707779,235000.0,235000.5
SP2707761,305000.0,304999.8
SP2707744,295000.0,147500.0
SP2707707,795000.0,795000.0
SP2707659,248000.0,335000.0
SP2707567,10000.0,7241.37931
SP2707522,160000.0,221429.0
SP2707495,75000.0,160001.1
SP2707462,48000.0,45428.0
SP270746,19000.0,14562.0
SP2707411,120000.0,140000.0
SP2707357,18000.0,15000.0
SP2707333,237000.0,218669.0
SP2707276,98000.0,68000.1
SP2707273,,174999.93
SP2707255,180000.0,81381.0
SP2707246,63000.0,62685.0
SP2707235,44500.0,47372.11076
SP2707224,29000.0,25714.0
SP2707205,18700.0,18375.0
SP2707202,170000.0,270011.0
SP2707183,,31000.0
SP2707170,399000.0,371905.0
SP2707166,44000.0,46095.0
SP2707152,166000.0,149195.0
SP2707146,34000.0,43000.0
SP2707142,508200.0,519999.9
SP2707127,,27000.0
SP2707097,230000.0,
SP270708,55000.0,52381.0
SP2707072,225000.0,236250.0
SP2707066,162000.0,138000.0
SP2707060,75000.0,88200.0
SP2706973,90000.0,59999.93219
SP2706924,102000.0,104120.0
SP270689,325000.0,307976.0
SP2706861,38000.0,37999.85
SP2706840,5000.0,4499.985
SP2706835,180000.0,175741.0
SP2706828,60000.0,30000.0
SP2706799,,213665.0
SP2706762,43000.0,32541.0
SP2706761,128000.0,121905.0
